,question,template,template_id,question_type,query_type,query_variables,bgp_variables,template_structure_graph,triples_list
0,Who is the  {country} for {head of state} of {Mahmoud Abbas},<?S P O ; ?S InstanceOf Type>,2,tbd,SelectQuery,[rdflib.term.Variable('sbj')],{rdflib.term.Variable('sbj')},[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P31'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q6256')), (rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P35'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q127998'))]"
1,What was the population of Somalia in 2009-0-0?,(E pred F) prop ?value,statement_property_2,tbd,SelectQuery,[rdflib.term.Variable('obj')],"{rdflib.term.Variable('x'), rdflib.term.Variable('s'), rdflib.term.Variable('obj')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q1045'), rdflib.term.URIRef('http://www.wikidata.org/prop/P1082'), rdflib.term.Variable('s')), (rdflib.term.Variable('s'), rdflib.term.URIRef('http://www.wikidata.org/prop/qualifier/P585'), rdflib.term.Variable('x')), (rdflib.term.Variable('s'), rdflib.term.URIRef('http://www.wikidata.org/prop/statement/P1082'), rdflib.term.Variable('obj'))]"
2,Which female actress is the voice over on South Park and is employed as a singer?,E REF ?F . ?F RFG G,1,tbd,SelectQuery,[rdflib.term.Variable('answer')],{rdflib.term.Variable('answer')},[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('answer'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P106'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q177220')), (rdflib.term.URIRef('http://www.wikidata.org/entity/Q16538'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P725'), rdflib.term.Variable('answer'))]"
3,On Lake Winnipeg what is the lakes on river?,?D RDE E,1.2,tbd,SelectQuery,[rdflib.term.Variable('answer')],{rdflib.term.Variable('answer')},[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('answer'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P469'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q3272'))]"
4,What open cluster has the largest radius?,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)",Rank1,tbd,SelectQuery,[rdflib.term.Variable('ent')],"{rdflib.term.Variable('obj'), rdflib.term.Variable('ent')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('ent'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P31'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q11387')), (rdflib.term.Variable('ent'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P2120'), rdflib.term.Variable('obj'))]"
5,What is the end time for Whitehaven resident Jonathan Swift?,(E pred ?Obj ) prop value,statement_property_1,tbd,SelectQuery,[rdflib.term.Variable('value')],"{rdflib.term.Variable('value'), rdflib.term.Variable('s')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('s'), rdflib.term.URIRef('http://www.wikidata.org/prop/statement/P551'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q1012481')), (rdflib.term.URIRef('http://www.wikidata.org/entity/Q41166'), rdflib.term.URIRef('http://www.wikidata.org/prop/P551'), rdflib.term.Variable('s')), (rdflib.term.Variable('s'), rdflib.term.URIRef('http://www.wikidata.org/prop/qualifier/P582'), rdflib.term.Variable('value'))]"
6,Tell me the historical period which is part of the time period of Muromachi period and whose name contains the word period?, <?S P O ; ?S instanceOf Type ; contains word >,3,tbd,SelectQuery,"[rdflib.term.Variable('sbj'), rdflib.term.Variable('sbj_label')]","{rdflib.term.Variable('sbj'), rdflib.term.Variable('sbj_label')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P2348'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q334845')), (rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P31'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q11514315')), (rdflib.term.Variable('sbj'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Variable('sbj_label'))]"
7,Which is the PIM authority ID of Paul Erdős?,E REF ?F,1.1,tbd,SelectQuery,[rdflib.term.Variable('answer')],{rdflib.term.Variable('answer')},[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q173746'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P3973'), rdflib.term.Variable('answer'))]"
8,What is the cause and place of John Denver's death?,select where (ent-pred-obj1 . ent-pred-obj2),1,tbd,SelectQuery,"[rdflib.term.Variable('ans_1'), rdflib.term.Variable('ans_2')]","{rdflib.term.Variable('ans_1'), rdflib.term.Variable('ans_2')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q105460'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P20'), rdflib.term.Variable('ans_2')), (rdflib.term.URIRef('http://www.wikidata.org/entity/Q105460'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P509'), rdflib.term.Variable('ans_1'))]"
9,who married to of actor of Bepanaah ?,C RCD xD . xD RDE ?E,5,tbd,SelectQuery,[rdflib.term.Variable('answer')],"{rdflib.term.Variable('answer'), rdflib.term.Variable('X')}",[a rdfg:Graph;rdflib:storage [a rdflib:Store;rdfs:label 'IOMemory']].,"[(rdflib.term.URIRef('http://www.wikidata.org/entity/Q4890903'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P161'), rdflib.term.Variable('X')), (rdflib.term.Variable('X'), rdflib.term.URIRef('http://www.wikidata.org/prop/direct/P26'), rdflib.term.Variable('answer'))]"
